id,date,time,na,na1,time_fraction,arrive
255,2019/04/22,8:39,8.65,0.3604166667,0.3604166667,1
256,2019/04/22,8:39,8.65,0.3604166667,0.3604166667,1
257,2019/04/22,8:40,8.67,0.3611111111,0.3611111111,1
258,2019/04/22,8:41,8.68,0.3618055556,0.3618055556,1
259,2019/04/22,8:41,8.68,0.3618055556,0.3618055556,1
260,2019/04/22,8:42,8.70,0.3625,0.3625,1
261,2019/04/22,8:42,8.70,0.3625,0.3625,1
262,2019/04/22,8:42,8.70,0.3625,0.3625,1
263,2019/04/22,8:44,8.73,0.3638888889,0.3638888889,1
264,2019/04/22,8:44,8.73,0.3638888889,0.3638888889,1
265,2019/04/22,8:45,8.75,0.3645833333,0.3645833333,1
266,2019/04/22,8:45,8.75,0.3645833333,0.3645833333,1
267,2019/04/22,8:46,8.77,0.3652777778,0.3652777778,1
268,2019/04/22,8:46,8.77,0.3652777778,0.3652777778,1
269,2019/04/22,8:47,8.78,0.3659722222,0.3659722222,1
270,2019/04/22,8:47,8.78,0.3659722222,0.3659722222,1
271,2019/04/22,8:50,8.83,0.3680555556,0.3680555556,1
272,2019/04/22,8:50,8.83,0.3680555556,0.3680555556,1
273,2019/04/22,8:50,8.83,0.3680555556,0.3680555556,1
274,2019/04/22,8:51,8.85,0.36875,0.36875,1
275,2019/04/22,8:51,8.85,0.36875,0.36875,1
276,2019/04/22,8:53,8.88,0.3701388889,0.3701388889,1
277,2019/04/22,8:53,8.88,0.3701388889,0.3701388889,1
278,2019/04/22,8:53,8.88,0.3701388889,0.3701388889,1
279,2019/04/22,8:54,8.90,0.3708333333,0.3708333333,1
280,2019/04/22,8:54,8.90,0.3708333333,0.3708333333,1
281,2019/04/22,8:55,8.92,0.3715277778,0.3715277778,1
282,2019/04/22,8:55,8.92,0.3715277778,0.3715277778,1
283,2019/04/22,8:55,8.92,0.3715277778,0.3715277778,1
284,2019/04/22,8:55,8.92,0.3715277778,0.3715277778,1
285,2019/04/22,8:56,8.93,0.3722222222,0.3722222222,1
286,2019/04/22,8:56,8.93,0.3722222222,0.3722222222,1
287,2019/04/22,8:56,8.93,0.3722222222,0.3722222222,1
288,2019/04/22,8:57,8.95,0.3729166667,0.3729166667,1
289,2019/04/22,8:57,8.95,0.3729166667,0.3729166667,1
290,2019/04/22,8:58,8.97,0.3736111111,0.3736111111,1
291,2019/04/22,9:00,9.00,0.375,0.375,1
292,2019/04/22,9:01,9.02,0.3756944444,0.3756944444,1
293,2019/04/22,9:02,9.03,0.3763888889,0.3763888889,1
294,2019/04/22,9:03,9.05,0.3770833333,0.3770833333,1
295,2019/04/22,9:03,9.05,0.3770833333,0.3770833333,1
296,2019/04/22,9:04,9.07,0.3777777778,0.3777777778,1
297,2019/04/22,9:04,9.07,0.3777777778,0.3777777778,1
298,2019/04/22,9:04,9.07,0.3777777778,0.3777777778,1
299,2019/04/22,9:06,9.10,0.3791666667,0.3791666667,1
300,2019/04/22,9:07,9.12,0.3798611111,0.3798611111,1
301,2019/04/22,9:07,9.12,0.3798611111,0.3798611111,1
302,2019/04/22,9:08,9.13,0.3805555556,0.3805555556,1
303,2019/04/22,9:08,9.13,0.3805555556,0.3805555556,1
304,2019/04/22,9:09,9.15,0.38125,0.38125,1
305,2019/04/22,9:09,9.15,0.38125,0.38125,0
306,2019/04/22,9:09,9.15,0.38125,0.38125,1
307,2019/04/22,9:09,9.15,0.38125,0.38125,1
308,2019/04/22,9:10,9.17,0.3819444444,0.3819444444,1
309,2019/04/22,9:10,9.17,0.3819444444,0.3819444444,1
310,2019/04/22,9:10,9.17,0.3819444444,0.3819444444,1
311,2019/04/22,9:11,9.18,0.3826388889,0.3826388889,1
312,2019/04/22,9:11,9.18,0.3826388889,0.3826388889,1
313,2019/04/22,9:11,9.18,0.3826388889,0.3826388889,1
314,2019/04/22,9:12,9.20,0.3833333333,0.3833333333,0
315,2019/04/22,9:13,9.22,0.3840277778,0.3840277778,1
316,2019/04/22,9:13,9.22,0.3840277778,0.3840277778,1
317,2019/04/22,9:13,9.22,0.3840277778,0.3840277778,1
318,2019/04/22,9:14,9.23,0.3847222222,0.3847222222,1
319,2019/04/22,9:14,9.23,0.3847222222,0.3847222222,1
320,2019/04/22,9:14,9.23,0.3847222222,0.3847222222,1
321,2019/04/22,9:15,9.25,0.3854166667,0.3854166667,1
322,2019/04/22,9:16,9.27,0.3861111111,0.3861111111,1
323,2019/04/22,9:16,9.27,0.3861111111,0.3861111111,1
324,2019/04/22,9:16,9.27,0.3861111111,0.3861111111,1
325,2019/04/22,9:17,9.28,0.3868055556,0.3868055556,1
326,2019/04/22,9:19,9.32,0.3881944444,0.3881944444,1
327,2019/04/22,9:19,9.32,0.3881944444,0.3881944444,1
328,2019/04/22,9:20,9.33,0.3888888889,0.3888888889,1
329,2019/04/22,9:20,9.33,0.3888888889,0.3888888889,1
330,2019/04/22,9:23,9.38,0.3909722222,0.3909722222,1
331,2019/04/22,9:25,9.42,0.3923611111,0.3923611111,1
332,2019/04/22,9:25,9.42,0.3923611111,0.3923611111,1
333,2019/04/22,9:25,9.42,0.3923611111,0.3923611111,1
334,2019/04/22,9:26,9.43,0.3930555556,0.3930555556,1
335,2019/04/22,9:27,9.45,0.39375,0.39375,1
336,2019/04/22,9:27,9.45,0.39375,0.39375,1
337,2019/04/22,9:27,9.45,0.39375,0.39375,1
338,2019/04/22,9:28,9.47,0.3944444444,0.3944444444,1
339,2019/04/22,9:28,9.47,0.3944444444,0.3944444444,1
340,2019/04/22,9:29,9.48,0.3951388889,0.3951388889,1
341,2019/04/22,9:29,9.48,0.3951388889,0.3951388889,1
342,2019/04/22,9:30,9.50,0.3958333333,0.3958333333,1
343,2019/04/22,9:30,9.50,0.3958333333,0.3958333333,1
344,2019/04/22,9:32,9.53,0.3972222222,0.3972222222,1
345,2019/04/22,9:32,9.53,0.3972222222,0.3972222222,1
346,2019/04/22,9:33,9.55,0.3979166667,0.3979166667,1
